key,country,data_source,observation_year,cohort_from,cohort_to,women,mean_children,variance_geometric,cv_minimum_tail,cv_geometric,cv_bounded_max_tail,open_parity,open_share,open_mean,unknown_share_reported,poisson_cv,excess_variance,excess_cv_if_poisson
colombia_2005,Colombia,Census 2005,2005,1946,1955,1631533,3.5665709536228776,7.27208198320295,0.7369335895809785,0.7560987408872143,0.9409803833840551,8,0.08687517840198782,9.659686172677198,0.04194411554698132,0.5295104870828783,3.7055110295800726,0.5397258100558874
costa_rica_2011,Costa Rica,Census 2011,2011,1952,1961,215390,3.423000139282232,4.762038408399228,0.627999934703884,0.6375137118345304,0.7529959042290787,8,0.05130228887134965,9.290497737556562,0.015134887974394147,0.5405010495351615,1.3390382691169957,0.3380567233888857
croatia_2011,Croatia,Census 2011,2011,1952,1961,318821,1.93997258649838,1.1849445154503822,0.5609283221128772,0.5611169844532069,0.5635638475428155,11,0.0003983426436778004,12.0,0.014902176465499128,0.7179632312867418,-0.7550280710479977,0.0
czech_republic_2001,Czech Republic,Census 2001,2001,1942,1951,763869,2.035228553587068,0.9832650357888228,0.4872134988802301,0.48721663851688196,0.4873098194303824,12,3.2728124848632425e-05,12.44,0.022252506647082157,0.7009602754422825,-1.051963517798245,0.0
dominican_republic_2010,Dominican Republic,Census 2010,2010,1951,1960,361750,3.8168624740843122,6.059809802627397,0.6279487930941313,0.6449454519854257,0.8126676611280327,8,0.07975120939875605,9.607279029462738,0.0,0.5118547571465399,2.2429473285430848,0.3923765329669216
ecuador_2010,Ecuador,Census 2010,2010,1951,1960,560190,3.977936057409093,7.590867530834528,0.6744106332079788,0.6926086456398818,0.8813117632711045,8,0.11128367161141756,9.5093038177735,0.016675735926556547,0.5013847276558673,3.6129314734254345,0.4778285161944221
el_salvador_2007,El Salvador,Census 2007,2007,1948,1957,221960,4.244458460983961,8.297454082347627,0.6554144239217079,0.6786567003326659,0.898479499586518,8,0.13844836907550911,9.625772860397007,0.0002252150804017837,0.48538779981420055,4.052995621363666,0.47431382090125884
estonia_2011,Estonia,Census 2011,2011,1952,1961,95682,1.9215003866976024,1.306153606785871,0.5944566906277547,0.5947804029747278,0.599133401361437,10,0.000710687485629481,11.0,0.007520200815293495,0.721406019659,-0.6153467799117314,0.0
finland_2015,Finland,Population Register 2015,2015,1956,1965,372020,1.9346406107198537,2.009915373394314,0.7258309745471118,0.7328052736014189,0.7855854955268456,8,0.004736304499758077,10.421112372304199,0.0,0.7189519235817975,0.07527476267446032,0.14181572760481662
germany_2012,Germany,Microcensus 2012,2012,1953,1962,5442000,1.673489525909592,1.338668157488565,0.6714516803726341,0.6913746760923175,1.2324053154426393,3,0.18155090040426314,3.4576214574898785,0.0,0.7730160313873276,-0.33482136842102705,0.0
